"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3093890853516","44.8650493772939","46.2596521538462","48.0927107683793","50.8675976148706","53.7237419188531","55.7772433722674","58.7336124436987","62.4267675229417","64.534193745572","66.6376770289244","69.1060950189652","73.6622256573217","75.2754730834044","76.0554028642542","73.8988500811783","77.1760336164623","79.5291665376124","81.7638643095843","85.9072458683573","88.9005517213754","93.4939480775572","97.4790799341006","99.1394220436433","97.9265438600509","101.849162176143","102.036597940594","100","103.958897410193","111.060627987948","109.946912346958","106.452616082952","110.138037089452","116.765941637385","115.654945180086","109.973251540577","113.445414349983","121.056990382611","",
"Africa Eastern and Southern","AFE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9399610071484","35.2372159072264","37.3956793300657","41.7542348404138","46.460535051461","51.5306680318869","55.240747969765","67.6852489958384","69.1041272562327","67.6091255076128","70.1881637052383","81.8347290794015","87.8101017027032","92.0449945365142","92.5668386097134","94.8324703031589","92.7485016686198","94.9778567679371","96.9451792533578","103.267439582288","110.457895899583","113.593791422896","124.278695318734","127.95939969937","",
"Africa Western and Central","AFW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.28705632307566E-08","4.197015014741E-08","4.197015014741E-08","4.1975507032029E-08","4.19760057471834E-08","4.99662248029275E-08","4.54627380223814E-08","4.99286843265394E-08","5.10339927831256E-08","5.93421546631015E-08","6.76544712697346E-08","1.39577927680422E-07","8.04688737806164E-07","8.18998894556242E-06","0.000186402424825001","0.00358916964763739","0.175888394344964","0.343779182409549","0.479088428283886","3.15001174865776","16.3176590936026","33.6718363717297","100","193.926566906731","258.782582133226","368.439758532296","431.500673863193","450.091587891221","537.255305596086","447.199817555747","591.513296595688","779.445707940429","836.000339188437","859.74044251697","890.354809013781","859.02869588617","1046.0756278831","1282.64054748492","1643.92310662772","1959.34269601225","2170.22881322863","3012.79241091361","3425.86414711837","4029.48557284815","",
"Albania","ALB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","2.70973210396316","2.65175543496619","2.65128556777898","2.65084134033152","2.65008955489768","2.65939726165219","2.59511164024236","2.59510369678934","2.59508868205726","2.59518415952619","2.58398934443231","3.50167370157163","11.6600362298122","26.3109666908969","35.7414684041477","39.3051296551283","54.3087066224655","60.4128121686322","64.4791139204194","65.8350129603178","69.5530265332017","72.2035931737441","74.83720210148","78.7277153097625","81.2095033428414","83.8949539363895","85.9740293615007","89.7454601747404","93.4403574357268","95.7000592931679","100","102.314743796998","103.381594575105","103.680104757091","105.287060398773","105.880870312261","105.211011366062","106.737340734897","109.903729197689","111.003415842992","111.048999392741","114.873969805373","126.202351522151","133.857848604236","",
"Andorra","AND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","4.331394991372","4.67123065479081","5.06912971028128","5.66979288017057","6.57385277442445","7.67706329662311","8.94300007196306","11.034150056031","13.3106101239855","15.5643212394939","17.6429073666931","19.8220134120956","22.5143086113766","25.1899620231978","27.9267844909878","30.3272211310375","33.6264634739686","35.6252873188482","37.7400489048485","40.3426808440353","43.2982839562958","46.3010841835154","49.408242969283","51.6500096524339","53.653956850034","56.3007714892205","56.7495887009687","58.0140605105971","58.8840125846456","60.4927117521632","77.8792564996033","80.2783543933462","82.8789971882537","85.5124642419289","88.1141159753295","91.1065613447548","94.2562828855088","97.2830664124349","99.4956124705714","99.6270821248032","100","100.196764152031","100.371664523226","100.821823609818","100.737113802681","101.402572054216","101.755245516619","102.911703389108","103.953662239379","105.382768858012","106.556507462058","109.283140047975","113.913086675585","121.084599898998","",
"Arab World","ARB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","6.16947210870813","6.16947210914607","6.16947210936258","9.51658513908018","22.6745481250346","26.9829199679505","30.1599783741969","31.7451132746913","30.5828892833333","32.7392950898459","35.8547585644971","38.3841267643714","38.8880599614618","37.481083256062","35.195686503467","35.4563221378579","34.854101719377","36.1386791953995","36.9991576738418","37.64711526789","38.9029855720888","39.2184299337221","39.927038770888","40.4373208243503","40.3311829968387","41.9071158085909","44.3264320008857","43.9043110726747","42.0364261673541","45.5857202994423","50.8096322341048","49.6159576427597","51.486895795801","53.5836516399235","58.1390240203789","67.747257577712","75.8512856667249","85.3584559810152","101.178240015817","85.8163681846663","100","113.16721937658","118.463134166644","117.338533639722","116.554654321473","97.5947016728099","92.198223523747","96.7954234609874","104.47783233038","101.140382624486","88.9718744148615","101.288936375555","114.081621357055","112.593768666088","",
"Argentina","ARG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","7.18895053077512E-11","8.64907652859395E-11","1.11462242080893E-10","1.39986716490085E-10","1.8026735845815E-10","2.18543409373263E-10","2.74498089074849E-10","3.54152666315735E-10","3.90542952635561E-10","4.20989017432552E-10","4.48218059324916E-10","5.88380614997062E-10","9.66384481466911E-10","1.59970732849673E-09","2.0897047438501E-09","6.22099594917571E-09","3.34890383211041E-08","8.6879666954123E-08","2.27079272547969E-07","5.6174199204415E-07","1.09983703145184E-06","2.25770549426669E-06","6.64973964305643E-06","3.19292920206385E-05","0.000227079944709636","0.00160647138692226","0.00284814905360172","0.006480676022766","0.0311880164525857","0.981203426102591","21.3737192502697","51.4043032052253","59.6659994934379","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427165","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466432","99.9999998969317","110.317511084538","125.47629818382","144.222363056105","177.640364739783","204.957277170641","247.824346395484","306.567321408416","374.977453364052","464.780047776689","652.007262571679","825.310738210731","1164.67339673925","1467.56277769074","2084.4332574088","3109.88226850322","4356.4191087013","6700.26354104376","11382.1453376826","26790.027581342","",
